Device,Time,Date,(1) Map,(1) Waits,(1) Shows,(1) Tips,(1) Bonus,(1) Game,(2) Not work as expected?,If yes...,(3) Influence?,If yes...,(4) Enough time?,If no...,(5) Overall Experience,(5a) Why?,(6) Merchandise Locations,(6a) What drove decision?,(7) Amount on merchandise,(8) F&B Locations,(8a) What drove decisions?,(9) Amount on F&B,(10) Meals eaten,(11) Attractions visisted,(13) Experience #1,(13) Experience #2,(13) Experience #3,(14) Age of user,(14) Gender of user,(15) Paper map?,(16) Paper schedule?,(17) Get lost?,(18) How closely did you follow plan?,(18a) What diverted original plans?,(19) Ride because of low wait times?,(19a) If yes....,(20) Get fast passes?,(20a) If yes...,(20c) Use them?,(20c) If no...,(21) Group split?,(21a) If yes...,(21b) Who kept the device?,(22) Other comments?
148,,4/24/2011,7,7,7,0,6,6,yes,perle de resou-s'ert e'teint,yes,selon le tps d'altente,no,,very good,pratique,My group has not purchased any merchandise at the Disneyland Paris Resort today,"Merchandise offerings, store look and feel, proximity",,My group has not purchased any meals or snacks at the Disneyland Paris Resort today,other,,Breakfast,"Flying carpets over agrabah, Cinemagique, tower of terror",JM,,,36,Male,yes,yes,never,closely,long waits,yes,tower of terror and nautilus,no,,,,no,,,"Manque les services: toilettes, restau,.../ Rubique recherche/ liens entre les altraction et spectades avec la carte. Mevai!"
148,20:46:00,4/25/2011,6,6,6,6,,,No,,,,No,,Very Good,,,,50,My group has n ot purchsed any meals or snacks at the Disneyland Paris Resort today,Counter service vs table service, ,30,,,,,30,Male,Yes,Yes,Never,Not at all,Long waits,Yes,,No,,No,,No,,,
148,18:30:00,4/26/2011,7,7,7,4,2,1,yes,charge,yes,pour le temps,no,,very good,bien utile,"plaza west shop, thunder mesa mercantile",store look and feel,200,"disney blockbuster cafe, restaurant en coulisse",reservation,100,breakfast and lunch,"la cabane des robinson, alice's curious labyrinth, its a small world, captain eo, art of disney animation, stitch live, flying carpets over agrabah, armageddon, tower of terror, playhouse disney live on stage",tower of terror,space mountain,captain eo,30,Male,yes,yes,never,closely,long waits,yes,tower of terror,no,,no,saved pas,,,moi,tres utile
148,,4/29/2011,7,7,7,5,7,3,Yes,la traduccion de los texts no es correcta algunas veces,yes,me guie' por los tiempos de espera indicados,yes,,Very Good,me ayudo' a tomar decisiones,The emporium and the disney store,Merchandise offerings and store look and feel,250,Agrabah cafe restaurant,Other-Buffet,500,"Lunch, afternoon snack and dinner","La cabane des robinson, le pays de contes de fees, alice's Curious Labyrinth, its a small world, flying carpets over agrabah, tower of terror, playhouse disney live on stage",its a small world,pirates of the carribean,tower of terror,36,Male,yes,no,never,Does not apply did not have a plan,,yes,"pirates of the carribean, the carousel, Mad Hat",yes,tower of terror,yes,,no,,,Mejorar la traduccion de los textos. Posibilidad de consultar el tiempo de espera seleccionado la attraccion en el mada.
148,,,7,7,7,2,7,5,Yes,Bonus and game button sticking,Yes,Timing we were waiting,Yes,,Excellent,Worked very well for timing rides,"Art of Animatin, Plaza west shop",100,Bonus,Buzz Lightyears pizza planet and cafe hyperion,,,,,,,,,,,,,,,,,,,,,,,,
148,20:15:00,4/22/2011,6,7,7,3,4,1,no,,no,,no,,very good,pratique,La girafe curieuse,proximity,100,My group has not purchased any meals or snacks at the Disneyland Paris resort today,,,,"la cabane des robinson, le pays des contes de fees, its a small world, cinemagique",its a small world,cinemagique,,33,Male ,yes,yes,never,does not apply did not have a plan,,yes,spectacles,yes,Mountain and peter pan,yes,,no,,,
149,17:00:00,4/25/2011,7,7,7,0,0,0,No,,No,,No,,Good,,,Merchandise offerings and proximity,30,Cafe Hyperion,,,Afternoon snack,Its a small world,Space Mountain,Peter Pan,Snow White,"44, 16",Female,Yes,No,a few times,,,,,,,,,,,,
149,19:18:00,4/26/2011,4,7,6,7,7,4,no,,yes,used small waiting times,yes,,Excellent,We used it more often because of many people in the park,"The emporium, thunder mesa mercantile, walt disney studio store, art of animation, disney store",merchandise offerings and store look and feel,300,"buzz lightyear pizza planet, au chalet de la marionette, pizzeria bella notte, disney blockbuster cafe",food offerings,250,afternoon snack and dinner,"its a small world, captain eo, stitch live, studio tram tour, moteurs action stunt show, playhouse disney live",Pirates of the Carribean,moteurs action stunt show,space mountain,42,male,no,no,never,closely,long waits,yes,captain eo,yes,buzz lightyear,yes,,no,,,very good option to orientate in the parks. More questions in the game
149,18:20:00,4/28/2011,7,7,7,4,2,3,No,,Yes,Ride wiats,Yes,bonuses were not very good,Excellent,very useful,,,50,,,,,,,,,,,,,,,,,,,,,,,,,
149,17:45:00,4/22/2011,7,7,0,3,7,5,no,,yes,,yes,attraction pesle,very good,content,,,0,Pizzeria bella notte,other- en tain,50,dinner,"its a small world, stitch live, armageddon",big thuner mountain railroad,la toure inf. ,Pirates of the Carribean,15,Female,no,no,a few times,not at all,long waits,yes,Buzz Lightyear,yes,,yes,Big Thunder mountain Railroad,no,,,
150,21:30:00,4/23/2011,7,6,4,5,3,4,No, ,No,,Yes,,Good,,"The emporium, la Girafe Curieuse, Les legends de hollywood, world of toys",Store look and feel ,180,,,,,,,,,,,,,,,,,,,,,,,,,
150,18:35:00,4/24/2011,6,5,0,4,0,0,no,,no,,no,,good,utile,My group has not purchased any merchandise at the Disneyland Paris Resort today,Store look and feel,,,,,,,,,,,,,,,,,,,,,,,,,,
150,21:55:00,4/25/2011,,,,,,,No,,No,,Yes,,Very Good,,,,,Au Chalet de la Marionette,Counter service vs Table service,20,Lunch and Dinner,La Cabane des Robinson,,,,"40,38,8,4",Male and Femal,Yes,No,Never,Does not apply did not have a plan,,Yes,,Yes,,,,Yes,,,
150,16:30:00,4/29/2011,7,7,6,4,4,5,Yes,No battery before the end of our first day,No,,No,,Very Good,Useful,"Indiana jones Adventure Outpost, Le giraffe curieuse",,150,My group has not purchased any meals or snacks at the Disneyland Paris resort today,Reservations,50,Breakfast,"Art of Disney animation, stitch live,Flying carpets of agrabah, Studio tram tour,  cinemagique",Stitch live,Studio tram tour,Flying carpets over agrabah,45,Male,yes,no,never,long waits,no,,no,,,,no,,,,
150,17:17:00,4/22/2011,7,7,7,4,5,7,no,,no,,yes,,very good,only very good because it froze,"The emporium, thunder mesa mercantile, walt disney studios store, les legends de hollywood, tower hotel gifts, art of disney animation, disney store, world of toys",store look and feel and proximity,2000,Toad Hall,Food offerings and proximity,1400,"Breakfast, morning snack and lunch","le pays des contes de fees, alice's curious labyrinth, studio tram tour",Disney Dance express,Shops,Crush's coaster,21,Female,no,,never,closely,long waits,no,,no,,,,yes,different choices,as above,Is it going to be a free service or will there be a charge
151,21:30:00,4/23/2011,6,7,4,5,3,7,No, ,No, ,Yes,,Excellent,Because its very useful,My group has not purchased any merchandise at the Disneyland Paris Resort today,,,"Pizzeria Bella Notte, Restaurant en Coulisse","Food offerings, wait time",25,Afternoon snack and evening snack,"La Cabone des Robinson, Alice's Curious Labyrinth, Its a small world",Space Mountain,Indiana Jones,Big Thunder Mountain Railroad,14,Male,No,No,Never,Does not apply did not have a plan,"long waits, tired children",Yes,Indiana Jones,Yes,Space Mountain,Yes,,Yes,Some want to there and we not,me myself,"its very useful, especially for who can't get over with a map"
151,20:40:00,4/26/2011,7,5,0,0,5,5,yes,once peat pas avoir acce' ou fast pass,no,,yes,,good,,My group has not purchased any merchandise at the disneyland paris resort today,,,Restaurant en coulisse,proximity and counter service vs table service,30,lunch,"la cabane des robinson, le pays des contes de fees, its a small world, captain eo, ",Pirates of the Carribean,le pays des contes de fees,captain eo,30/32,Male and female,no,no,never,loosely,long waits,yes,le pays des contes de fees ,yes,buzz lightyear,yes,,yes,fille ,Gorgon,indique a attract ?
151,20:37:00,4/28/2011,6,6,6,4,3,0,No,,Yes,,No,temps top courts,Very Good,,,Proximity,30,Disney Village,"Counter service vs table service, other",40,Lunch,"Le pays des contes de fees, Art of disney animation, stitch live, flying carpets over agrabah, ",Space Mountain,Indiana Jones, ,35,Male,,Yes,a few times,Closely/loosely,other - les temps d'attente,Yes,Stitch,Yes,Space mountain,Yes,,No,,,Tres utile
151,15:20:00,4/29/2011,5,4,,,3,3,Yes,Stopped two times,yes,waiting times,no,,good,General Assessment only,,Store look and feel,200,,,,,,,,,,,,,,,,,,,,,,,,,We have hardly used it but it could have been a good device with a bit more time at hand. Thank you
151,19:20:00,4/27/2011,7,5,3,3,0,4,no,,yes,,no,,good,,,,,,,,,Rock n roller coaster ,Tower of terror,Rock n roller coaster, ,43,Male,yes,no,never,does not apply did not have a plan,long waits,yes,rock n roller coaster,no,,,,no,,,
151,,4/22/2011,3,7,4,5,6,3,no,,,,yes,,very good,,"walt disney studio store, disney store",store look and feel and bonus,70,,,,,"la cabane des robinson, captain eo, armageddon, rock n roller coaster, tower of terror, moteurs action stunt show",Tower of terror,rock n roller coaster,big thunder mountain railroad,15,female,no,yes,never,does not apply did not have a plan,long waits,yes,mang.,yes,"big thunder mountain railroad, space mountain",yes,,no,,,
153,16:37:00,4/23/2011,7,7,7,5,7,5,No,,No,,Yes,,Very good,,My group has not purchased any merchandise at the Disneyland Paris Resort today,,,Restaurant en Coulisse,Food offerings ,60,Lunch,"Art fo Disney Animation, Studio Tram Tour CeneMagique, Rock n Roller Coaster, Moteurs Action Stunt Show",Rock n Roller Coaster,Moteurs Action Stunt Show,CineMagique,43,Male,No,No,Never,Loosely,Long waits ,No,,No,,,,No,,,
153,19:50:00,4/24/2011,7,2,2,1,1,1,no,,no,,no,,just okay,pas de becoes estimat pr attents attract' pas encore fal,The Emporium,Merchandise offerings,80,Disney's Blockbuster cafe,Food offerings,50,lunch and afternoon snack,"its a small world, flying carpets over agrabah, rock n roller coaster, tower of terror",Nemo,Space Mountain,Indiana Jones,27,Female,yes,no,once,closely,long waits,no,,yes,Buzz Lightyear,yes,,yes,Ice d'age,Moi, 
153,16:00:00,4/25/2011,4,3,4,0,0,0,Yes,Brightness Screen,No,,No,,Poor,,The Emporium,Merchandise offerings,100,Cafe Hyperion,Wait time,50,Lunch and afternoon snack,"Le pays des contes de fees, its a small world",Rock n roller coaster,Buzz Lightyear,,44,Male,Yes,Yes,Never,Not at all,Other,Yes,,Yes,"Rock n roller coaster, Buzz lightyear and star tour",Yes,,Yes,,,"It did not work, Simply"
153,21:00:00,4/26/2011,5,7,7,7,7,4,no,,yes,,yes,,very good,tre utile pas lea liles l'attente,la girafe curieuse,bonus,21,,,,,"its a small world, stitch live, cinemagique, playhouse disney live on stage",its a small world,cinemagique,stitch live,39,Male,yes,no,never,loosely,long waits and bonus,yes,"buzz lightyear, cars",yes,buzz lightyear,yes,,no,,,none
153,21:50:00,4/30/2011,7,7,7,4,4,4,No,,Yes,,No,,Good,,,Proximity,70,,,,,,,,,,,,,,,,,,,,,,,,,
153,19:40:00,4/27/2011,7,7,,0,5,2,yes,it stopped working,yes,waiting times,no,,very Good,useful,My group has not purchased any merchandise at the Disneyland Paris Resort today,,,Pizzeria Bella Notte,,,,,,,,,,,,,,,,,,,,,,,,
153,18:35:00,4/22/2011,6,6,6,3,2,4,no,,yes,delai d'attente,no,repos,good,,,store look and feel and proximity,60,,other- l'endrat ou nais 'chois,70,"lunch, afternoon snack, dinner, and evening snack","la cabane des robinson, le pays des contes de fees, its a small world, art of disney animation, stitch live, studio tram tour, cinemagique, moteurs action stunt show, playhouse disney live on stage",Nemo,stitch,indiana jones,33,Male ,yes,yes,never,closely,long waits,no,,no,,,,no,,,Tres bien
154,18:50:00,4/23/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not filled out because the person used it the day before
154,13:45:00,4/24/2011,7,7,4,5,7,4,yes,It stops to trace your position sometimes,no,,yes,,very good,because it was very good,walt disney studios store and disney store,Store look and feel,40,Restaurant Hakuna matata,Bonus,20,Lunch  ,"Armageddon, tower of terror",tower of terror,Space Mountain,RC coaster,30,Male,no,no,never,Does not apply did not have a plan,,no,,yes,wild wild,yes,,no,,,"please indicate toilettes!! very interactive, super good"
154,20:20:00,4/25/2011,0,2,0,0,0,2,Yes,,Yes,,No,,Just Okay,Not enough information,My group has not purchased any merchandise at the Disneyland Paris resort today,Merchandise offerings,0,Au Chalet de la Marionette,Proximity,30,Lunch,"La Cabane des Robinson, Its a small world",Pirates of the Carribean,,,39,Male,Yes,Yes,Never,Does not apply did not have a plan,,Yes,,No,,,,No,,,
154,19:55:00,4/27/2011,7,7,7,2,6,6,yes,camera would have been great,yes,Discoveryland and fantasyland,no,cadeau a studio et present dans parc,very Good,innovative and useful,Plaza west shop,"Merchandise offerings, Store look and feel, proximity and bonus",20,Restaurant Hakuna Matata,,,,,,,,,,,,,,,,,,,,,,,,
154,18:05:00,4/22/2011,5,5,6,0,6,4,no,,yes,,yes,,good,,My group has not purchased any merchandise at the disneyland paris resort today,,,Restaurant en coulisse,bonus,45,breakfast and lunch,"Le pays des contes de fees, stitch live, cinemagique, tower of terror, playhouse disney live on stage",Tower of terror,stitch live,animagique,31,Female,no,no,never,loosely,long waits and bonus,no,,yes,tower of terror,yes,,no,,,
155,19:00:00,4/23/2011,7,7,7,6,6,6,No,,No,,No,,Excellent,,"Walt Disney studios store, world of toys",Merchandise offerings,40,My group did not purchase any meals or snacks at the Disneyland Paris Resort this trip,,12,,"La cabane des robinson, le pays des contes de fees, studio tram tour, Moteurs action stunt show",,,,16,F,No,No,Never,Loosely,Long waits,Yes,Pays des conte desoe,No,,,,No,,,
155,17:05:00,4/24/2011,6,6,5,4,5,3,yes,,yes,temps d'attende,yes,,very good,pratique,My group has not purchased any merchandise at the Disneyland Paris Resort today,,200,"Disney Blockbuster cafe, restaurant en coulisse",Reservation,72,Morning snack and evening snack,"Alice's curious labyrinth, its a small world, captain EO, stitch live, flying carpets over agrabah, studio tram tour, rock n roller coaster, moteurs action stunt show, Playhouse disney live on stage",Rock n roller coaster,Nemo,Its a small world,38,Male,no,no,never,loosely,long waits,no,,yes,rock n roller coaster,yes,,no,,,none
155,19:20:00,4/25/2011,6,6,7,7,4,4,No,,No,,,We didn't use that,Good,easy to use,My group has not purchased any merchandise at the Disneyland Paris resort today,,,,,20,Afternoon snack,,Star tours,Pirates of the Carribean,Adventure,9,Female,Yes,Yes,Once,Not at all,Long waits,No,,No,,No,,Yes,interest,,No
155,18:29:00,4/26/2011,6,7,4,3,3,4,yes,,yes,,no,,very good,,"walt disney studio store, tower hotel gifts, disney store", ,50,Pizzeria bella notte,,,,,,,,,,,,,,,,,,,,,,,,
155,14:05:00,4/30/2011,5,5,5,5,5,5,No,,No,,,,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,18:24:00,4/27/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No time
156,13:10:00,4/23/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Times weren't correct. Wouldn't take survey
156,18:50:00,4/25/2011,7,7,7,1,4,1,Yes,Touch screen,Yes,,Yes,,Very Good,,My group has not purchased any merchandise at the Disneyland Paris resort today,,,My group has not purchased any meals or snacks at the Disneyland Paris Resort today,,,Breakfast,"Studio tram tour, cinemagique, armageddon, rock n roller coaster, tower of terror",Space mountain,Tower of terror,Rock n roller coaster,19,Male,No,No,Never,Does not apply did not have a plan,Long waits,Yes,Space Mountain,Yes,Rock n roller coaster,Yes,,Yes,Different interests,Kids,
156,19:50:00,4/28/2011,7,6,7,5,3,6,No,,No,,No,Its so awesome in Disney,Excellent,,"Indiana Jones Adventure outpost, plaza west shop, Walt Disney studios store, tower hotel gifts, disney store, world of toys",Proximity,112,My group did not purchase any meals or snacks at the Disneyland Paris Resort today,Proximity,112,Dinner,"La cabane des robinson, le pays des contes de fees, alice's curious labyrinth, studio tram tour, armageddon, rock n roller coaster, tower terror, moteurs action stunt show",Armageddon,star tours,space mountain,16,Male,No,No,Never,Closely  ,Long waits,No,,No,,Yes,,No,,Me 16 yr old male,Improve the language function
156,14:24:00,4/27/2011,7,7,,,,,No,,no,,no,,Good,,"Disney Store, world of toys",Merchandise offerings and store look and feel,300,,Price,300,Afternoon snack,"La cabane des robinson, Alice's curious labyrinth, flying carpets over agrabah, studio tram tour, armageddon, rock n roller coaster, tower of terror",tower of terror,,,53,Male,yes,no,never,loosely,long waits,yes,,yes,autopia,, ,no,,,
156,18:35:00,4/22/2011,4,5,4,3,2,5,no,,yes,,yes,,very good,,,store look and feel,50,Restaurant en coulisse,wait times,50,lunch  ,"flying carpets over agrabah, armageddon, rock n roller coaster, tower of terror, moteurs action stunt show, playhouse disney live",Tower of terror,,,35,Male ,no,no,never,closely,long waits,yes,,yes,,yes,,no,,,
157,19:30:00,4/25/2011,0,7,7,3,No,1,No,Waiting times are not always accurate,Yes,,No,,Good,,My group has not purchased any merchandise at the Disneyland Paris resort today,,,My group has not purchased any meals or snacks at the Disneyland Paris Resort today,,,Afternoon snack,"La Cabane des Robinson, Its a small world",Pirates of the Carribean,Haunted Mansion,Star tours,43,Female,Yes,Yes,a few times,Does not apply did not have a plan,Yes,Star tours,No,,,,No,,,,None
157,18:00:00,4/26/2011,2,6,4,3,3,7,no,,yes,,yes,,very good,,Walt disney studio store,store look and feel,50,Buzz lightyears pizza planet,proximity,50,lunch and afternoon snack,"flying carpets over agrabah, studio tram tour, armageddon, rock n roller coaster, tower oterror, moteurs action stunt show",rock n roller coaster,tower of terror,crush's coaster,53,Male,yes,no,never,loosely,long waits,yes,rock n roller coaster (fast pass),yes,rock n rolelr coaster,yes,,no,,,
157,17:45:00,4/27/2011,0,3,3,2,1,2,no,,yes,,no,,good,waiting times,My group has not purchased any merchandise at the Disnyeland Paris Resort today,,,My group has not purchased any meals or snacks at the Disneyland Paris Resort today,,,Afternoon snack,"Le pays de contes de fees, alice's curious labyrinth, its a small world, captain EO",Its a small world,Parade,Coute,37,Female,yes,yes,a few times,closely,long waits,yes,poupee- coute,,,,,no,,,
158,,4/26/2011,7,7,5,1,2,1,yes,no tip,yes,,yes,no bonus,very good,,My group has not purchased any merchandise at the Disneyland Paris Resort today,,,McDonalds,price,9,afternoon snack,"Armageddon, moteurs action stunt show",pirates of the carribean,,,11,,yes,no,never,,,yes,,yes,,,,,,,too many people! its a shame! Never!
158,19:50:00,4/28/2011,7,6,4,5,5,7,No,,No,,No,,Very Good,Good Idea,My group has not purchased any merchandise at the Disneyland Paris Resort today,,,Agrabah Cafe Restaurant,,,,,,,,,,,,,,,,,,,,,,,,
158,20:03:00,4/29/2011,,,,,,,No,,No,,Yes,,Good,,,Store look and feel,,,Wait times ,70,Afternoon snack,,,,,39,Female,Yes,Yes,a few times,closely,long waits,yes,,,,yes,,yes,jetile fille,me,attente trop longue
159,19:35:00,4/23/2011,7,7,0,0,7,0,No, ,Yes,Tower of Terror,Yes,Fast Pass tower of terror,Very good,,My group has not purchased any merchandise at the Disneyland Paris Resort Today,,,,,,"Lunch, afternoon snack","Studio tram tour, armegeddon, rock n roller coaster, tower of terror",rock n roller coaster,tower of terror,crush's coaster,25,F,Yes,No,Once,Loosely,"Long waits, bonus",No,,No,,,,No,,,
159,,4/24/2011,5,7,4,7,7,7,No,,No,,yes,,excellent,it made the day more organized,"Plaza west shop, les legends de hollywood","Merchandise offerings, store look and feel, bonus, other- photos",1000,"Disney Blockbuster cafe, restaurant en coulisse",Bonus,500,Lunch and dinner,"Its a small world, flying carpets over agrabah, Armageddon, rock n roller coaster, tower of terror",Cinderella,Rides,Shop,14,Female,no,no,never,Does not apply did not have a plan,,yes,"aladin, its a small world",yes,rock n roller coaster,yes,,no,,,
159,17:06:00,4/25/2011,2,1,2,2,2,1,Yes,Not friendly,No,,No,,Poor,,Walt disney studio store,Merchandise offerings,10,,Food offering,10,Morning Snack,"Art of Disney Animaiton, Cinemagique, Armageddon, Rock n roller coaster",Cars,Armageddon,Nemo,15,,No,No,Never,Does not apply did not have a plan,,Yes,,No,,,,No,,,None
160,16:43:00,4/23/2011,7,7,5,1,6,7,No , ,Yes,,Yes,,Very Good,Very Useful,,,0,,,,afternoon snack,Tower of terror,Tower of Terror,Crush,Space Mountain,25,F,Yes,No,Never,Does not apply did not have a plan,Long Waits,No,,Yes,Tower of Terror,Yes,,No,,,Always on
160,20:16:00,4/24/2011,7,6,0,7,7,6,No,,no,,yes,,very good,Parce qu il at bien,Plaza west shop  ,"Merchandise offerings, store look and feel, bonus",50,Disney Blockbuster cafe  ,Counter service vs table service,10,afternoon snack,"Alice's curious labyrinth, rock n roller coaster",Space mountain,indiana jones,rock n roller coaster,19,female,no,no,never,Does not apply did not have a plan,,yes,,yes,Indiana jones,yes,,no,,,
160,16:40:00,4/25/2011,6,4,2,1,3,6,No,,No,,No,Bonus option did not work,Good,,My group has not purchased any merchandise at the Disneyland Paris resort today,,,,"Food Offerings, Price",40,"Lunch, Afternoon snack","La Cabane des Robinson, Alice's Curious Labyrinth",Orbitron,La Cabane des Robinson,Disneyland railroad,33,M,Yes,No,Never,Closely,long waits,Yes,Alice's Curious Labyrinth,No,,,,No,,,
160,2100,4/26/2011,4,5,3,0,0,0,No,,Yes,,No,No Existen,Just okay,Poca info,My group has not purchased any merchandise at the Disneyland Paris Resort today,,,My group has not purchased any meals or snacks at the Disneyland Paris Resort today,,,,,,,,,,,,,,,,,,,,,,,,
160,19:40:00,4/30/2011,0,6,6,0,0,6,No,,Yes,,No,,Very Good,Cu a partos ete'un guids,The emporium,proximity,30,My group has not purchased any meals or snacks at the Disneyland Paris Resort today,,,,,,,,,,,,,,,,,,,,,,,,
160,20:45:00,4/27/2011,7,7,5,4,7,3,no,,yes,going to the attractions,yes,,very Good,,My group has not purchased any merchandise at the Disnyeland Paris Resort today,,,Disney Blockbuster Caft,Price and bonus,30,lunch,"la cabane des robinson, flying carpets over agrabah, studio tram tour, armageddon, rock n roller coaster, tower of terror, moteurs action stunt show",rock n roller coaster,moteurs action stunt show,tower of terror,11,male,yes,no,never,closely,long waits,yes,pirates of the carribean,yes,rock n roller coaster,yes,,yes,2 groups different attractions,mom,Please put the toilets on the maps
160,19:45:00,4/22/2011,0,5,5,5,7,7,yes,pete de rieau,yes,temp oll attente,yes,fast pass,very good,,,,,,,,Lunch,"Stitch live, flying carpets over agrabah, rock n roller coaster, tower of terror",tower of terror,rock n roller coaster, ,35,Male ,no,no,never,does not apply did not have a plan,,no,,yes,tower of terror,yes,,no,,,
161,19:35:00,4/28/2011,7,6,2,2,3,3,No,,Yes,,No,,Very Good,,My group has not purchased any merchandise at the Disneyland Paris Resort today,Merchandise offerings,20,Disney Blockbuster Cafe,,,,,,,,,,,,,,,,,,,,,,,,
161,13:44:00,4/25/2011,7,7,7,3,2,6,No,,Yes,Waiting Times,No,,Very Good,Easy to use,"Walt Disney Studio Store, Disney Store",Store look and feel,,Restaurant en coulisse,"Food offerings, price, other ",30,Lunch ,"Stitch Live, Cinemagique, Tower of Terror",Tower of terror,Stitch,,3,Male,Yes,Yes,Never,Does not apply did not have a plan,long waits,Yes,Stitch,No,,,,No,,,Bonuses should be indicated on the map
161,15:25:00,4/26/2011,5,6,4,2,2,1,No,,No,,No,,Good,Pratique,My group has not purchased any merchandise at the Disneyland Paris Resort today,,,Disney's Blockbuster Cafe,"Food offerings, wait times, price",60,Breakfast and Lunch,"Cinemagique, Armageddon, Rock n roller coaster Moteurs action stunt show.",Cinemagique,Nemo,Moteurs action stunt show,30,Male,No,No,Never,loosely,long waits,No,,Yes,Tower of terror,Yes,,No,,,
161,20:00:00,4/27/2011,7,6,6,6,7,5,no,,yes,Peter pan,no,,very Good,,Indiana jones adventure outpost,merchandise offerings and proximity,50,cafe hyperion,counter service vs table service,30,evening snack,"alice's curious labyrinth, its a small world",space mountain,pirates of the carribean,Peter pan,33,Female,no,no,never,closely,long waits and tired children,yes,pirates of the carribean,no,,no,,yes,different attractions adults and children,epome,add a new option (restaurants and toilets)
162,,4/23/2011,2,6,1,2,1,4,Yes,"No restaurants, bathrooms etc.",Yes,wait times helpful,No,,Good,"Restaurant times inconvenient, not enough map detail, both parks",,,?,Cafe Hyperion,"Proximity, Other - Pizza planet was closed, went to the hyperion for bonus but too late",?,Lunch and dinner,"Alice's curious labyrinth, armageddon, rock n roller coaster, tower of terror",Rock n roller coaster,Space mountain,Indiana Jones,48,F,Yes,No,a few times,Does not apply did not have a plan,Long waits,Yes,"Haunted Mansion, rock n roller coaster, space mountain, buzz lightyear",Yes,Tower of terror,No,didnt want to go on it ,Yes,"different rides, wait in lines",femail 48,No
162,20:00:00,4/29/2011,7,6,4,2,3,3,No,Connection of waits went to map to see their location,No,,Yes,,Very Good,needs very few improvements,"Plaza West Shop, Les legends de hollywood, world of toys","Merchandise offerings, bonus, proximity and weather conditions",150,"Buzz lightyears pizza planet, Restaurant en coulisse","Food offerings, wait times and bonus",500,Breakfast,,Dumbo,Characters,Shows,32,Female,yes,yes,once,closely,long waits,no,,yes,"Splash Mountain, house of terror",,,yes,fantasyland vs discoveryland,wife,Super
162,20:55:00,4/30/2011,7,7,0,0,0,4,Yes,"Extinction, ajoutes 1-corde autouf du cou",No,No,No,,Yes,Utile,Disney Store,Store look and feel,80,Pizzaria bella notte,Food offerings,50,Lunch,"Its a small world, le pays des contes de fees, alice's curious labyrinth",Indiana Jones,Space Mountain,Buzz Lightyear,35,Male,Yes,Yes,Never,Does not apply - Did not have a plan,Long Waits,Yes,,Yes,Space Mountain,Yes,,No,,,
162,18:10:00,4/27/2011,7,5,5,5,6,0,no,,yes,the waiting time option made us change our itinarary,yes,,good,,My group has not purchased any merchandise at the Disnyeland Paris Resort today,,,Restaurant en coulisse,reservations,,lunch and afternoon snack,"la cabane des robinson, captain EO, cinemagique",Cinemagic,captain EO,la cabane des robinson,37,Female,yes,no,never,closely,long waits and bonuses,yes,captain eo,yes,buzz lightyear,yes,,no,,,Should include minimum height for different attractions
162,18:35:00,4/22/2011,3,5,0,5,7,7,yes,"toilets, restaurants",yes,skipped some queus,yes,fine,very good,good information,Walt disney studios store,Merchandise offerings and bonus,100,Restaurant en coulisse,Food offerings and wait times,450,"Breakfast, lunch, afternoon snack and dinner","its a small world, studio tram tour, armageddon, rock n roller coaster and tower of terror",Space mountain,Dumbo,Indiana Jones,13,Female,yes,no,never,not at all,,no,,yes,rock n roller coaster,yes,,yes,tired children,,No battery most of the day
163,19:00:00,4/23/2011,0,7,5,0,0,2,No, ,Yes,Attente,No,,Very Good,Attente attractions,"Thunder mesa mercantile, tower Hotel Gifts",Merchandise offerings,200,"Au Chale de la Marionette, Pizzeria Bella Notte",Food offerings,60,Lunch,Tower of terror,Haunted Mansion,Tower of terror,Parade,32,F,No,NO,Never,Does not apply did not have a plan,,Yes,carousel,No,Pas recu,,,NYes,petit de 2 ons,,None
163,19:15:00,4/24/2011,7,7,7,5,7,7,no,,yes,we visited a show we didn't expect to visit,yes,,excellent,we think it is a fantastic helpful device,"Walt disney studio store, tower hotel gifts","merchandise offerings, bonus",300,pizzeria bella notte,"food offerings, wait time, proximity",700,"Morning snack, lunch, afternoon snack, dinner","Its a small world, flying carpets over agrabah, Armageddon, rock n roller coaster, tower of terror",tower of terror,Big Thunder mountain railroad,Peter pan ,16,female,no,no,once,loosely,long waits,yes,"flying carpets, carousel, tea cups",yes,peter pan and big thunder mountain,yes,,yes,to go on different rides,parents,"location of toilets and restaurants, more games"
163,19:49:00,4/25/2011,6,5,6,3,5,6,No,,No,,No,,Very Good,Useful,My group has not purchased any merchandise at the Disneyland Paris resort today,,,My group has not purchased any meals or snacks at the Disneyland Paris Resort today,Proximity,,,,Nemo,Tower of terror, ,20,Female,Yes,Yes,A few times,loosely,long waits and tired children,No,,Yes,,Yes,,No,,person with children,
